('Alley', 'James', Decimal('40674.65'))
('Allison', 'Patsy', Decimal('14239.79'))
('Anderson', 'Gloria', Decimal('18669.72'))
('Andrews', 'John', Decimal('66669.36'))
('Bailey', 'Paul', Decimal('56581.10'))
('Baker', 'Mildred', Decimal('50589.98'))
('Baldwin', 'Mark', Decimal('42594.73'))
('Barr', 'Sarah', Decimal('100781.49'))
('Beck', 'Amanda', Decimal('87404.63'))
('Bell', 'Armando', Decimal('84353.74'))
('Brinson', 'Marjory', Decimal('26748.94'))
('Bryan', 'Goldie', Decimal('101278.52'))
('Bryant', 'Alisha', Decimal('34867.59'))
('Bryant', 'James', Decimal('47350.39'))
('Cade', 'Kevin', Decimal('51059.16'))
('Campbell', 'Nancy', Decimal('56518.99'))
('Carbajal', 'Eric', Decimal('53404.21'))
('Carmichael', 'Carrie', Decimal('58824.45'))
('Carpenter', 'Amy', Decimal('30402.39'))
('Castro', 'George', Decimal('26812.46'))
('Catlett', 'Carl', Decimal('78336.73'))
('Chalmers', 'David', Decimal('36057.38'))
('Chatman', 'Candice', Decimal('106563.75'))
('Cheng', 'Sandra', Decimal('24974.95'))
('Clark', 'Joseph', Decimal('34262.69'))
('Cobb', 'Christopher', Decimal('48216.82'))
('Cohen', 'Cindy', Decimal('17889.27'))
('Contreras', 'Edward', Decimal('20657.41'))
('Conway', 'Emilia', Decimal('39670.94'))
('Cousins', 'Beverly', Decimal('78791.90'))
('Denson', 'James', Decimal('21194.74'))
('Dowling', 'Joseph', Decimal('41593.09'))
('Dowling', 'Joseph', Decimal('51731.45'))
('Dyer', 'Donald', Decimal('55168.41'))
('Edwards', 'Barrett', Decimal('28808.69'))
('Edwards', 'Kenneth', Decimal('63051.87'))
('Elder', 'Donna', Decimal('55654.36'))
('Elder', 'Donna', Decimal('60622.57'))
('Ellis', 'Anne', Decimal('25217.29'))
('Evans', 'Lester', Decimal('58513.25'))
('Fenton', 'Natosha', Decimal('50203.03'))
('Ferguson', 'Bernard', Decimal('83096.78'))
('Fernandez', 'Stephen', Decimal('78625.51'))
('Fischer', 'Anna', Decimal('48726.16'))
('Floyd', 'Jessica', Decimal('19368.35'))
('Gage', 'Crystal', Decimal('31212.38'))
('Gannon', 'Julia', Decimal('40767.30'))
('Garcia', 'Duane', Decimal('22850.49'))
('Garcia', 'Gary', Decimal('82194.55'))
('Garvin', 'Mark', Decimal('17012.86'))
('Gilbert', 'Jose', Decimal('63290.31'))
('Gold', 'Christopher', Decimal('77432.13'))
('Gonzales', 'George', Decimal('61396.60'))
('Graham', 'Jimmie', Decimal('58330.97'))
('Guerra', 'Andrew', Decimal('49504.48'))
('Hagan', 'Wayne', Decimal('44320.48'))
('Hayes', 'Everett', Decimal('70167.19'))
('Hendrix', 'Nicole', Decimal('39213.60'))
('Heredia', 'Robert', Decimal('86689.25'))
('Hernandez', 'Tommy', Decimal('22114.44'))
('Hicks', 'Carin', Decimal('37581.80'))
('Hough', 'Grace', Decimal('49074.88'))
('Hudson', 'Stephanie', Decimal('25867.17'))
('Hyman', 'Christopher', Decimal('34158.91'))
('Isaac', 'Elizabeth', Decimal('45326.87'))
('Jackson', 'Angel', Decimal('53148.99'))
('Jackson', 'John', Decimal('70531.04'))
('Johnson', 'Andrea', Decimal('5603.20'))
('Johnson', 'Elizabeth', Decimal('63937.34'))
('Johnson', 'Olga', Decimal('59241.82'))
('Jolly', 'Steve', Decimal('66469.69'))
('Kelly', 'Stephane', Decimal('35689.01'))
('Kennedy', 'David', Decimal('53102.40'))
('King', 'Cassie', Decimal('55125.21'))
('Kirby', 'Richard', Decimal('46256.88'))
('Knight', 'Robert', Decimal('30502.28'))
('Lee', 'Ashley', Decimal('58448.58'))
('Leone', 'Lilla', Decimal('53104.78'))
('Lewis', 'Kimberely', Decimal('35591.60'))
('Lynn', 'Paul', Decimal('78814.57'))
('Mabry', 'Russell', Decimal('39341.08'))
('Macdonald', 'James', Decimal('81666.33'))
('Madrid', 'Sarah', Decimal('30375.06'))
('Maher', 'Beatrice', Decimal('78079.63'))
('Martin', 'Chad', Decimal('56439.84'))
('Martin', 'Lillian', Decimal('100811.88'))
('Mayer', 'Virginia', Decimal('35547.57'))
('Mccartney', 'Kimberly', Decimal('16596.20'))
('Mcmillan', 'Jimmy', Decimal('28511.99'))
('Melton', 'Kyle', Decimal('71428.04'))
('Metzger', 'Michael', Decimal('26385.27'))
('Meyer', 'Sandra', Decimal('58107.56'))
('Michael', 'Charles', Decimal('48929.33'))
('Mitchell', 'George', Decimal('15936.35'))
('Mitchell', 'George', Decimal('50289.84'))
('Montemayor', 'Lura', Decimal('47279.43'))
('Montes', 'Karina', Decimal('16085.89'))
('Morehead', 'Francis', Decimal('33184.81'))
('Murry', 'Anthony', Decimal('86730.21'))
('Napier', 'Clifton', Decimal('71585.38'))
