('Aaron', 'Jimmie', 'Dr.', 'N', 15545871, 15)
('Aaron', 'Kathy', 'Dr.', 'Y', 22392198, 16)
('Aaron', 'Rosie', 'Ms.', 'Y', 146569, 15)
('Aaron', None, None, 'N', 20448182, 15)
('Abbott', 'Andres', 'Sir', 'Y', 4523105, 15)
('Abbott', 'Angela', 'Mrs.', 'N', 16278606, 15)
('Abbott', 'Charles', 'Dr.', 'Y', 13823580, 15)
('Abbott', 'Dolores', 'Ms.', 'Y', 16384984, 15)
('Abbott', 'Eugene', 'Dr.', 'N', 4116128, 16)
('Abbott', 'Inez', 'Miss', 'Y', 4166351, 15)
('Abbott', 'Kent', 'Mr.', 'N', 11717679, 16)
('Abbott', 'Kimberly', 'Dr.', 'Y', 2475399, 15)
('Abbott', 'Michael', 'Mr.', 'N', 9238184, 15)
('Abbott', 'Rene', 'Mr.', 'Y', 5098857, 15)
('Abbott', 'Steven', 'Sir', 'Y', 13794961, 15)
('Abel', 'Cheryl', 'Miss', 'N', 9357341, 16)
('Abel', 'Douglas', 'Dr.', 'N', 6552102, 15)
('Abel', 'James', 'Mr.', 'N', 12560942, 15)
('Abel', 'James', 'Sir', 'Y', 556102, 15)
('Abel', 'Mark', 'Mr.', 'Y', 16201981, 16)
('Abell', 'Katherine', 'Dr.', 'Y', 2171177, 16)
('Abell', 'Renee', 'Ms.', 'N', 17891238, 16)
('Abernathy', 'Allen', 'Dr.', 'N', 496797, 15)
('Abernathy', 'Daniel', 'Dr.', 'N', 5206858, 15)
('Abernathy', 'Derek', 'Sir', 'Y', 21719356, 16)
('Abernathy', 'George', 'Sir', 'N', 1066281, 15)
('Abernathy', 'Jason', 'Mr.', 'Y', 7520273, 15)
('Abernathy', 'Kay', 'Mrs.', 'N', 5837574, 15)
('Abernathy', 'Millard', 'Mr.', 'N', 11874096, 16)
('Abernathy', 'Richelle', 'Miss', 'N', 2230567, 15)
('Abernathy', 'William', 'Mr.', 'Y', 16662536, 16)
('Abner', 'Carolyn', 'Miss', 'Y', 8792800, 16)
('Abner', 'Sharon', 'Dr.', 'N', 21547982, 15)
('Abney', 'Eric', 'Dr.', 'N', 22022608, 15)
('Abney', 'Jason', 'Dr.', 'Y', 19574500, 15)
('Abney', 'Louis', 'Mr.', 'Y', 19063897, 15)
('Abraham', 'Earl', 'Mr.', 'Y', 13095845, 15)
('Abraham', 'Earl', 'Mr.', 'Y', 23393361, 16)
('Abraham', 'Janice', 'Miss', 'Y', 11727293, 15)
('Abraham', 'John', 'Dr.', 'Y', 6158198, 15)
('Abraham', 'Marsha', 'Ms.', 'Y', 20105661, 15)
('Abraham', 'Randy', 'Mr.', 'N', 15670119, 15)
('Abraham', 'Samuel', 'Sir', 'Y', 12454221, 16)
('Abrams', 'Barry', 'Sir', 'Y', 10058379, 16)
('Abrams', 'Billy', 'Mr.', 'Y', 20147917, 16)
('Abrams', 'David', 'Dr.', 'N', 2065098, 15)
('Abrams', 'George', 'Dr.', 'Y', 6088382, 15)
('Abrams', 'Helen', 'Dr.', 'Y', 7490584, 15)
('Abrams', 'Joseph', 'Mr.', 'Y', 1879190, 15)
('Abrams', 'Raymond', 'Sir', 'Y', 13330350, 15)
('Abrams', 'Terry', 'Sir', 'Y', 21405070, 16)
('Abrams', 'William', 'Dr.', 'Y', 7844033, 15)
('Abrams', None, 'Dr.', 'Y', 20392518, 16)
('Abreu', 'Edward', 'Dr.', 'N', 21272045, 15)
('Abreu', 'Francisco', 'Sir', 'N', 21295051, 15)
('Abreu', 'Helen', 'Miss', 'Y', 9180228, 15)
('Abreu', 'Megan', 'Mrs.', 'Y', 4608257, 15)
('Abreu', 'Rose', 'Mrs.', 'N', 2544810, 15)
('Abreu', 'Sheila', 'Ms.', 'Y', 14810268, 15)
('Acevedo', 'David', 'Mr.', 'Y', 12174112, 16)
('Acevedo', 'Janet', 'Miss', 'Y', 6027949, 16)
('Acevedo', 'Olga', 'Dr.', 'Y', 20577840, 15)
('Acker', 'Allyn', 'Mrs.', 'N', 5504035, 15)
('Acker', 'Anthony', 'Mrs.', 'Y', 8109569, 16)
('Acker', 'Jeanne', 'Ms.', 'N', 7452349, 15)
('Acker', 'Marcia', 'Dr.', 'N', 10922645, 16)
('Acker', 'Nora', 'Miss', 'N', 17318627, 15)
('Acker', 'Rebekah', 'Miss', 'Y', 6251667, 15)
('Ackerman', 'Dennis', 'Mr.', 'Y', 2822769, 16)
('Ackerman', 'Jesse', 'Sir', 'N', 6572392, 16)
('Ackerman', 'Joanna', 'Ms.', 'N', 15276714, 16)
('Ackerman', 'John', 'Sir', 'N', 3789477, 15)
('Ackerman', 'Ralph', 'Mr.', 'Y', 9314506, 15)
('Ackerman', 'Ryan', 'Sir', 'N', 22106818, 15)
('Ackley', 'Jennifer', 'Ms.', 'Y', 6380833, 15)
('Acosta', 'Albert', 'Mrs.', 'Y', 977494, 16)
('Acosta', 'Alice', 'Mrs.', 'Y', 5509915, 15)
('Acosta', 'Amy', 'Mrs.', 'Y', 7539119, 15)
('Acosta', 'Amy', 'Mrs.', 'Y', 8647881, 15)
('Acosta', 'Betty', 'Dr.', 'Y', 1214814, 16)
('Acosta', 'Carlene', 'Ms.', 'Y', 14097907, 15)
('Acosta', 'Eric', 'Sir', 'N', 4662255, 16)
('Acosta', 'Eunice', 'Ms.', 'N', 16719275, 16)
('Acosta', 'Hattie', 'Mrs.', 'N', 14386946, 15)
('Acosta', 'Julie', 'Mrs.', 'N', 6700704, 16)
('Acosta', 'Keith', 'Dr.', 'Y', 13742182, 16)
('Acosta', 'Kenneth', 'Mr.', 'Y', 13843065, 15)
('Acosta', 'Kevin', 'Mr.', 'Y', 1205801, 15)
('Acosta', 'Robert', 'Sir', 'N', 7089883, 15)
('Acosta', 'Santos', 'Mr.', 'N', 4991612, 15)
('Acosta', 'Sarah', 'Mrs.', 'N', 594926, 15)
('Acuna', 'Clifford', 'Mr.', 'Y', 12841487, 15)
('Adair', 'Clyde', 'Dr.', 'N', 17891509, 15)
('Adair', 'Frank', 'Mr.', 'N', 14297619, 16)
('Adair', 'Franklin', 'Mr.', 'N', 3173322, 15)
('Adair', 'Joann', 'Miss', 'Y', 134022, 15)
('Adair', 'Margie', 'Miss', 'Y', 10261776, 15)
('Adair', 'Ruth', 'Dr.', 'Y', 2045316, 15)
('Adam', 'Donald', 'Dr.', 'Y', 2417232, 15)
('Adam', 'Karen', 'Ms.', 'Y', 10183167, 15)
('Adame', 'Amy', 'Mrs.', 'N', 8576538, 15)
('Adame', 'Kathy', 'Dr.', 'Y', 2105485, 15)
('Adame', 'Nancy', 'Ms.', 'N', 10790004, 16)
('Adame', 'Rafael', 'Dr.', 'Y', 22701248, 15)
('Adame', 'Ray', 'Mr.', 'Y', 10462089, 16)
('Adame', 'Shelly', 'Miss', 'N', 8140532, 15)
('Adame', 'Susan', 'Miss', 'N', 21924179, 15)
('Adams', 'Alberto', 'Mr.', 'Y', 3393920, 15)
('Adams', 'Alexander', 'Ms.', 'N', 7337735, 15)
('Adams', 'Alicia', None, None, 16074270, 15)
('Adams', 'Amanda', 'Mrs.', 'Y', 17545787, 16)
('Adams', 'Angelina', 'Dr.', 'N', 16228912, 15)
('Adams', 'Antonio', 'Mrs.', 'Y', 15405456, 15)
('Adams', 'Antwan', 'Dr.', 'N', 11008270, 15)
('Adams', 'Arthur', 'Miss', 'Y', 12951095, 16)
('Adams', 'Basil', 'Mr.', 'Y', 16855901, 16)
('Adams', 'Betty', 'Dr.', 'N', 1533762, 15)
('Adams', 'Bryan', 'Dr.', 'N', 15536754, 16)
('Adams', 'Carla', 'Ms.', 'Y', 16884994, 15)
('Adams', 'Carmela', 'Mrs.', 'N', 3437455, 16)
('Adams', 'Carolyn', 'Ms.', 'N', 1455418, 15)
('Adams', 'Cassandra', 'Dr.', 'N', 9571351, 15)
('Adams', 'Catherine', 'Miss', 'Y', 338760, 15)
('Adams', 'Cathleen', 'Dr.', 'N', 11526871, 15)
('Adams', 'Charles', 'Dr.', 'N', 5853943, 16)
('Adams', 'Christopher', 'Sir', 'N', 3282268, 15)
('Adams', 'Curtis', 'Dr.', 'Y', 1604005, 15)
('Adams', 'Dan', 'Mr.', 'Y', 12190321, 16)
