('antiableesecallycallyought', 'anti', '73604', '357', '7th ', 'Tyrone', '61201', '1000', 'North North', 'Crossroads', '50534', 2001, 1, Decimal('62.32'), Decimal('86.00'), Decimal('0.00'), Decimal('48.31'), Decimal('55.55'), Decimal('3290.74'), 2002, 1)
('antiableesecallycallyought', 'bar', '75709', '727', '4th Fourth', 'Oak Hill', '27838', '668', 'Spring ', 'Lincoln', '31289', 2001, 1, Decimal('87.21'), Decimal('165.69'), Decimal('0.00'), Decimal('63.62'), Decimal('107.51'), Decimal('0.00'), 2002, 1)
('antiableesecallycallyought', 'bar', '33604', '297', 'Railroad ', 'Riverview', '39003', '623', 'Seventh Lee', 'Oak Grove', '48370', 2001, 1, Decimal('99.12'), Decimal('135.79'), Decimal('0.00'), Decimal('11.87'), Decimal('15.43'), Decimal('0.00'), 2002, 1)
('antiableesecallycallyought', 'eing', '39231', '315', 'Lincoln ', 'Enterprise', '41757', '698', 'River ', 'Buena Vista', '75752', 2001, 1, Decimal('20.15'), Decimal('30.42'), Decimal('0.00'), Decimal('9.27'), Decimal('12.69'), Decimal('0.00'), 2002, 1)
('antiableesecallycallyought', 'eing', '39231', '172', 'Jackson Oak', 'Five Forks', '12293', '573', 'Seventh ', 'Greenwood', '88828', 2001, 1, Decimal('27.33'), Decimal('36.89'), Decimal('0.00'), Decimal('9.27'), Decimal('12.69'), Decimal('0.00'), 2002, 1)
('antiableesecallycallyought', 'eing', '41904', '31', 'Jackson Lake', 'Concord', '74107', '265', 'Chestnut Wilson', 'Morris', '46696', 2001, 1, Decimal('49.45'), Decimal('83.07'), Decimal('0.00'), Decimal('68.88'), Decimal('94.36'), Decimal('0.00'), 2002, 1)
('antiableesecallycallyought', 'eing', '71904', '843', '9th Pine', 'New Hope', '69431', '119', '5th ', None, None, 2001, 1, Decimal('80.05'), Decimal('83.25'), Decimal('0.00'), Decimal('50.77'), Decimal('72.09'), Decimal('4048.20'), 2002, 1)
('antiableesecallycallyought', 'n st', '50059', '79', 'Main ', 'Friendship', '14536', '982', 'Cedar ', 'Bethel', '55281', 2001, 1, Decimal('86.69'), Decimal('99.69'), Decimal('1877.48'), Decimal('5.94'), Decimal('8.61'), Decimal('0.00'), 2002, 1)
('antiationeingoughtbarought', 'able', '44136', '516', 'Cherry ', 'Friendship', '64536', '54', 'Lakeview ', 'Stringtown', '40162', 2001, 1, Decimal('91.97'), Decimal('137.95'), Decimal('0.00'), Decimal('68.63'), Decimal('110.49'), Decimal('0.00'), 2002, 1)
('antiationeingoughtbarought', 'anti', '35709', '226', 'Wilson First', 'Belmont', '40191', '179', 'Main ', 'Sulphur Springs', '98354', 2001, 1, Decimal('86.62'), Decimal('172.37'), Decimal('155.10'), Decimal('48.87'), Decimal('60.59'), Decimal('0.00'), 2002, 1)
('antiationeingoughtbarought', 'ought', '72739', '697', 'Meadow ', 'Wildwood', '66871', '991', 'Lincoln Elevnth', 'Spring Hill', '36787', 2001, 1, Decimal('19.96'), Decimal('26.94'), Decimal('0.00'), Decimal('31.32'), Decimal('51.67'), Decimal('699.73'), 2002, 1)
('antiationeingoughtbarought', 'ought', '72739', '697', 'Meadow ', 'Wildwood', '66871', '991', 'Lincoln Elevnth', 'Spring Hill', '36787', 2001, 1, Decimal('19.96'), Decimal('26.94'), Decimal('0.00'), Decimal('98.80'), Decimal('171.91'), Decimal('0.00'), 2002, 1)
('antiationeingoughtbarought', 'ought', '52477', '878', 'Ridge Washington', 'Glendale', '93951', '970', 'Highland 10th', 'Pleasant Hill', '53604', 2001, 1, Decimal('96.50'), Decimal('157.29'), Decimal('0.00'), Decimal('26.96'), Decimal('27.22'), Decimal('0.00'), 2002, 1)
('antiationeingoughtbarought', 'ought', '52477', '878', 'Ridge Washington', 'Glendale', '93951', '970', 'Highland 10th', 'Pleasant Hill', '53604', 2001, 1, Decimal('96.50'), Decimal('157.29'), Decimal('0.00'), Decimal('99.43'), Decimal('105.39'), Decimal('0.00'), 2002, 1)
('antieingeingablebarought', 'able', '38721', '249', 'Oak ', 'Liberty', '23451', '821', 'Miller ', 'Harmony', '75804', 2001, 1, Decimal('36.09'), Decimal('53.41'), Decimal('0.00'), Decimal('86.21'), Decimal('143.97'), Decimal('0.00'), 2002, 1)
('antieingeingablebarought', 'ation', '31904', '893', '1st North', 'Clifton', '58014', '603', 'Spring Walnut', 'Fairview', '95709', 2001, 1, Decimal('22.50'), Decimal('31.27'), Decimal('0.00'), Decimal('70.51'), Decimal('117.75'), Decimal('0.00'), 2002, 1)
('antieingeingablebarought', 'ation', '31904', '416', 'Church ', 'Wilson', '96971', '416', 'Jackson Spring', 'Greenfield', '75038', 2001, 1, Decimal('45.21'), Decimal('51.08'), Decimal('0.00'), Decimal('70.51'), Decimal('117.75'), Decimal('0.00'), 2002, 1)
('antieingeingablebarought', 'bar', '25281', '751', 'Railroad Church', 'Glendale', '73951', '440', 'Green ', 'Westgate', '32366', 2001, 1, Decimal('54.93'), Decimal('84.59'), Decimal('0.00'), Decimal('14.53'), Decimal('26.29'), Decimal('0.00'), 2002, 1)
