('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAACOABAA', 'King, Michael')
('AAAAAAAAAADABBAA', 'Dempsey, Daniel')
('AAAAAAAAAADABBAA', 'Dempsey, Daniel')
('AAAAAAAAAADABBAA', 'Dempsey, Daniel')
('AAAAAAAAAADABBAA', 'Dempsey, Daniel')
('AAAAAAAAAADABBAA', 'Dempsey, Daniel')
('AAAAAAAAAADABBAA', 'Dempsey, Daniel')
('AAAAAAAAAADABBAA', 'Dempsey, Daniel')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEAHAAA', 'Romero, Susan')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
